species,gene,lam,k,rep,error
17,2,0,3,44,200
1,4,0,3,44,200
95,4,0,3,44,200
75,4,0,3,44,200
57,7,0,3,44,200
77,7,0,3,44,200
58,7,0,3,44,200
39,9,0,3,44,200
31,9,0,3,44,200
54,9,0,3,44,200
73,9,0,3,44,200
32,9,0,3,44,200
71,10,0,3,44,200
76,11,0,3,44,200
3,11,0,3,44,200
2,11,0,3,44,200
36,11,0,3,44,200
60,11,0,3,44,200
46,13,0,3,44,200
22,13,0,3,44,200
61,14,0,3,44,200
68,14,0,3,44,200
63,14,0,3,44,200
49,14,0,3,44,200
7,14,0,3,44,200
42,14,0,3,44,200
20,14,0,3,44,200
38,14,0,3,44,200
72,15,0,3,44,200
2,16,0,3,44,200
46,18,0,3,44,200
22,18,0,3,44,200
6,19,0,3,44,200
48,19,0,3,44,200
86,22,0,3,44,200
61,23,0,3,44,200
68,23,0,3,44,200
75,24,0,3,44,200
94,24,0,3,44,200
77,24,0,3,44,200
58,24,0,3,44,200
52,26,0,3,44,200
29,26,0,3,44,200
4,26,0,3,44,200
24,26,0,3,44,200
1,26,0,3,44,200
39,26,0,3,44,200
31,26,0,3,44,200
54,26,0,3,44,200
17,27,0,3,44,200
6,27,0,3,44,200
95,27,0,3,44,200
96,27,0,3,44,200
89,27,0,3,44,200
29,29,0,3,44,200
5,31,0,3,44,200
12,32,0,3,44,200
26,32,0,3,44,200
71,32,0,3,44,200
42,33,0,3,44,200
38,33,0,3,44,200
32,34,0,3,44,200
53,34,0,3,44,200
47,34,0,3,44,200
77,34,0,3,44,200
0,36,0,3,44,200
86,38,0,3,44,200
64,39,0,3,44,200
6,41,0,3,44,200
25,41,0,3,44,200
48,41,0,3,44,200
1,44,0,3,44,200
100,44,0,3,44,200
45,44,0,3,44,200
34,45,0,3,44,200
95,45,0,3,44,200
57,45,0,3,44,200
5,47,0,3,44,200
61,48,0,3,44,200
68,48,0,3,44,200
95,48,0,3,44,200
63,48,0,3,44,200
2,48,0,3,44,200
89,48,0,3,44,200
4,49,0,3,44,200
95,49,0,3,44,200
49,49,0,3,44,200
28,49,0,3,44,200
8,49,0,3,44,200
7,49,0,3,44,200
42,49,0,3,44,200
20,49,0,3,44,200
38,49,0,3,44,200
66,49,0,3,44,200
45,49,0,3,44,200
99,51,0,3,44,200
75,52,0,3,44,200
78,52,0,3,44,200
86,53,0,3,44,200
99,53,0,3,44,200
94,53,0,3,44,200
53,54,0,3,44,200
47,54,0,3,44,200
26,55,0,3,44,200
8,55,0,3,44,200
80,58,0,3,44,200
99,58,0,3,44,200
29,60,0,3,44,200
24,60,0,3,44,200
84,60,0,3,44,200
93,60,0,3,44,200
83,60,0,3,44,200
91,60,0,3,44,200
26,62,0,3,44,200
82,63,0,3,44,200
53,63,0,3,44,200
69,63,0,3,44,200
78,65,0,3,44,200
41,65,0,3,44,200
50,65,0,3,44,200
16,65,0,3,44,200
10,65,0,3,44,200
74,65,0,3,44,200
21,65,0,3,44,200
